127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:40:28 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:15:40:30 -0200] "GET /views/home.html HTTP/1.1" 404 1022
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/js/angular-route.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:40:34 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:15:40:39 -0200] "GET /views/home.html HTTP/1.1" 404 1022
127.0.0.1 - - [23/Nov/2016:15:41:00 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1129
127.0.0.1 - - [23/Nov/2016:15:41:00 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:41:00 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 200 978
127.0.0.1 - - [23/Nov/2016:15:41:00 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 200 187
127.0.0.1 - - [23/Nov/2016:15:41:06 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:41:06 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:41:06 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:15:41:06 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:41:06 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:41:38 -0200] "GET /views/home.html HTTP/1.1" 404 1022
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 200 986
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:15:41:44 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1155
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/js/angular-route.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:42:44 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:15:42:45 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:42:45 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
